,params,mean_train_score,mean_test_score,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_random_state
2266,"{'learning_rate_init': 0.0001, 'max_iter': 40, 'random_state': 1, 'hidden_layer_sizes': 100}",0.8391760809092915,0.522,100,0.0001,40,1
22,"{'learning_rate_init': 0.0001, 'max_iter': 50, 'random_state': 2, 'hidden_layer_sizes': 10}",0.23694290371163085,0.208,10,0.0001,50,2
272,"{'learning_rate_init': 0.0001, 'max_iter': 50, 'random_state': 2, 'hidden_layer_sizes': 20}",0.3220025880638928,0.232,20,0.0001,50,2
522,"{'learning_rate_init': 0.0001, 'max_iter': 50, 'random_state': 2, 'hidden_layer_sizes': 30}",0.5080206704519855,0.374,30,0.0001,50,2
773,"{'learning_rate_init': 0.0001, 'max_iter': 50, 'random_state': 3, 'hidden_layer_sizes': 40}",0.6352412797847058,0.382,40,0.0001,50,3
1020,"{'learning_rate_init': 0.0001, 'max_iter': 50, 'random_state': 0, 'hidden_layer_sizes': 50}",0.6900516712695133,0.414,50,0.0001,50,0
1274,"{'learning_rate_init': 0.0001, 'max_iter': 50, 'random_state': 4, 'hidden_layer_sizes': 60}",0.675851739049396,0.446,60,0.0001,50,4
1520,"{'learning_rate_init': 0.0001, 'max_iter': 50, 'random_state': 0, 'hidden_layer_sizes': 70}",0.8271038919139494,0.5,70,0.0001,50,0
1773,"{'learning_rate_init': 0.0001, 'max_iter': 50, 'random_state': 3, 'hidden_layer_sizes': 80}",0.8009807345062429,0.534,80,0.0001,50,3
2020,"{'learning_rate_init': 0.0001, 'max_iter': 50, 'random_state': 0, 'hidden_layer_sizes': 90}",0.8611129772840904,0.524,90,0.0001,50,0
2271,"{'learning_rate_init': 0.0001, 'max_iter': 50, 'random_state': 1, 'hidden_layer_sizes': 100}",0.8930867309952695,0.546,100,0.0001,50,1
27,"{'learning_rate_init': 0.0001, 'max_iter': 60, 'random_state': 2, 'hidden_layer_sizes': 10}",0.2319763423511252,0.206,10,0.0001,60,2
277,"{'learning_rate_init': 0.0001, 'max_iter': 60, 'random_state': 2, 'hidden_layer_sizes': 20}",0.3419907678082497,0.238,20,0.0001,60,2
527,"{'learning_rate_init': 0.0001, 'max_iter': 60, 'random_state': 2, 'hidden_layer_sizes': 30}",0.5850360931655477,0.414,30,0.0001,60,2
776,"{'learning_rate_init': 0.0001, 'max_iter': 60, 'random_state': 1, 'hidden_layer_sizes': 40}",0.6211483854861474,0.418,40,0.0001,60,1
1029,"{'learning_rate_init': 0.0001, 'max_iter': 60, 'random_state': 4, 'hidden_layer_sizes': 50}",0.7451039781779453,0.452,50,0.0001,60,4
1279,"{'learning_rate_init': 0.0001, 'max_iter': 60, 'random_state': 4, 'hidden_layer_sizes': 60}",0.7679130463960965,0.468,60,0.0001,60,4
1525,"{'learning_rate_init': 0.0001, 'max_iter': 60, 'random_state': 0, 'hidden_layer_sizes': 70}",0.8809668195764401,0.54,70,0.0001,60,0
1775,"{'learning_rate_init': 0.0001, 'max_iter': 60, 'random_state': 0, 'hidden_layer_sizes': 80}",0.8359582466417977,0.544,80,0.0001,60,0
2025,"{'learning_rate_init': 0.0001, 'max_iter': 60, 'random_state': 0, 'hidden_layer_sizes': 90}",0.9200856335775476,0.546,90,0.0001,60,0
2276,"{'learning_rate_init': 0.0001, 'max_iter': 60, 'random_state': 1, 'hidden_layer_sizes': 100}",0.9320681742632088,0.556,100,0.0001,60,1
32,"{'learning_rate_init': 0.0001, 'max_iter': 70, 'random_state': 2, 'hidden_layer_sizes': 10}",0.2269681251294545,0.206,10,0.0001,70,2
283,"{'learning_rate_init': 0.0001, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 20}",0.3560930319753199,0.26,20,0.0001,70,3
532,"{'learning_rate_init': 0.0001, 'max_iter': 70, 'random_state': 2, 'hidden_layer_sizes': 30}",0.6539837980662103,0.434,30,0.0001,70,2
781,"{'learning_rate_init': 0.0001, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 40}",0.6800553896941816,0.442,40,0.0001,70,1
1032,"{'learning_rate_init': 0.0001, 'max_iter': 70, 'random_state': 2, 'hidden_layer_sizes': 50}",0.7819579482461388,0.47,50,0.0001,70,2
1284,"{'learning_rate_init': 0.0001, 'max_iter': 70, 'random_state': 4, 'hidden_layer_sizes': 60}",0.8448928798108154,0.49,60,0.0001,70,4
1530,"{'learning_rate_init': 0.0001, 'max_iter': 70, 'random_state': 0, 'hidden_layer_sizes': 70}",0.9179283676162511,0.544,70,0.0001,70,0
1780,"{'learning_rate_init': 0.0001, 'max_iter': 70, 'random_state': 0, 'hidden_layer_sizes': 80}",0.8929107376820973,0.552,80,0.0001,70,0
2030,"{'learning_rate_init': 0.0001, 'max_iter': 70, 'random_state': 0, 'hidden_layer_sizes': 90}",0.9469888212878228,0.564,90,0.0001,70,0
